wweaicatnumfood,wweaicatdescfood,parentfoodcode,parentfooddesc,ffbin1,ffcont1,ffcont1fdd,ffbin9,ffcont9,ffcont9fdd,ingseq,ingcode,ingdesc,ingretcode,ingfoodprop,ingfermscore,fibin1,fibin9,fddfermweight,foodcodesource,fooddescsource,manualmatch,fddfermweight_avg,_merge,fermpropfddweight,lmcat
9007,Baby food: mixtures,67100460,"Baby Toddler fruit and vegetables, with yogurt",1,0,0,1,0,0,9,3119,"Babyfood, vegetables, corn, creamed, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100460,"Baby Toddler fruit and vegetables, with yogurt",1,0,0,1,0,0,7,3121,"Babyfood, vegetables, peas, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100460,"Baby Toddler fruit and vegetables, with yogurt",1,0,0,1,0,0,17,999328,Vitamin D as ingredient,0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100460,"Baby Toddler fruit and vegetables, with yogurt",1,0,0,1,0,0,14,999328,Vitamin D as ingredient,0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100460,"Baby Toddler fruit and vegetables, with yogurt",1,0,0,1,0,0,12,3112,"Babyfood, potatoes, toddler",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100460,"Baby Toddler fruit and vegetables, with yogurt",1,0,0,1,0,0,4,3130,"Babyfood, fruit, peaches, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100460,"Baby Toddler fruit and vegetables, with yogurt",1,0,0,1,0,0,15,1116,"Yogurt, plain, whole milk",0,0,1,1,1,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100460,"Baby Toddler fruit and vegetables, with yogurt",1,0,0,1,0,0,3,3132,"Babyfood, fruit, pears, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100460,"Baby Toddler fruit and vegetables, with yogurt",1,0,0,1,0,0,8,3104,"Babyfood, vegetables, squash, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100460,"Baby Toddler fruit and vegetables, with yogurt",1,0,0,1,0,0,11,3127,"Babyfood, vegetables, spinach, creamed, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100460,"Baby Toddler fruit and vegetables, with yogurt",1,0,0,1,0,0,1,43546,"Babyfood, banana no tapioca, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100460,"Baby Toddler fruit and vegetables, with yogurt",1,0,0,1,0,0,13,1116,"Yogurt, plain, whole milk",0,0,1,1,1,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100460,"Baby Toddler fruit and vegetables, with yogurt",1,0,0,1,0,0,10,3092,"Babyfood, vegetables, green beans, junior",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100460,"Baby Toddler fruit and vegetables, with yogurt",1,0,0,1,0,0,6,3099,"Babyfood, vegetables, carrots, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100460,"Baby Toddler fruit and vegetables, with yogurt",1,0,0,1,0,0,2,3116,"Babyfood, fruit, applesauce, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100460,"Baby Toddler fruit and vegetables, with yogurt",1,0,0,1,0,0,16,19297,Jams and preserves,0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100460,"Baby Toddler fruit and vegetables, with yogurt",1,0,0,1,0,0,5,3108,"Babyfood, vegetables, sweet potatoes strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100470,"Baby Toddler fruit, vegetables, and meat",0,0,0,0,0,0,11,3127,"Babyfood, vegetables, spinach, creamed, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100470,"Baby Toddler fruit, vegetables, and meat",0,0,0,0,0,0,4,3130,"Babyfood, fruit, peaches, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100470,"Baby Toddler fruit, vegetables, and meat",0,0,0,0,0,0,3,3132,"Babyfood, fruit, pears, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100470,"Baby Toddler fruit, vegetables, and meat",0,0,0,0,0,0,13,3012,"Babyfood, meat, chicken, strained",0,0,0,0,0,0,,,,,Master only (1),0,1
9007,Baby food: mixtures,67100470,"Baby Toddler fruit, vegetables, and meat",0,0,0,0,0,0,17,3996,"Babyfood, Multigrain whole grain cereal, dry fortified",0,0,0,0,0,0,,,,,Master only (1),0,1
