Category_key,Grouping,Category,Condiment_status,Mixdish_status,Inulin_status
111,Category 3,"Chicken, whole pieces",0,0,0
112,Category 3,"Chicken patties, nuggets and tenders",0,0,0
113,Category 3,"Turkey, duck, other poultry",0,0,0
114,Category 3,Fish,0,0,0
115,Category 3,Shellfish,0,0,0
116,Category 3,Eggs and omelets,0,0,0
117,Category 3,Cold cuts and cured meats,0,0,0
118,Category 3,Bacon,0,0,0
119,Category 3,Frankfurters,0,0,0
120,Category 3,Sausages,0,0,0
121,Category 3,"Beans, peas, legumes",0,0,0
122,Category 3,Nuts and seeds,0,0,0
123,Category 3,Soy and meat-alternative products,0,0,0
124,Category 3,Meat mixed dishes,0,0,0
125,Category 3,Poultry mixed dishes,0,0,0
126,Category 3,Seafood mixed dishes,0,0,0
127,Category 3,"Bean, pea, legume dishes",0,0,0
128,Category 3,Vegetable dishes,0,0,0
129,Category 3,Rice mixed dishes,0,0,0
130,Category 3,"Pasta mixed dishes, excludes macaroni and cheese",0,0,0
131,Category 3,Macaroni and cheese,0,0,0
132,Category 3,Turnovers and other grain-based items,0,0,0
133,Category 3,Fried rice and lo/chow mein,0,0,0
134,Category 3,Stir-fry and soy-based sauce mixtures,0,0,0
135,Category 3,"Egg rolls, dumplings, sushi",0,0,0
136,Category 3,Burritos and tacos,0,0,0
137,Category 3,Nachos,0,0,0
138,Category 3,Other Mexican mixed dishes,0,0,0
139,Category 3,Burgers,0,0,0
140,Category 3,Frankfurter sandwiches,0,0,0
141,Category 3,Chicken fillet sandwiches,0,0,0
142,Category 3,Egg/breakfast sandwiches,0,0,0
143,Category 3,Cheese sandwiches,0,0,0
144,Category 3,Peanut butter and jelly sandwiches,0,0,0
145,Category 3,Seafood sandwiches,0,0,0
146,Category 3,Deli and cured meat sandwiches,0,0,0
147,Category 3,Meat and BBQ sandwiches,0,0,0
148,Category 3,Vegetable sandwiches/burgers,0,0,0
149,Category 3,"Soups, broth-based",0,0,0
150,Category 3,"Soups, cream-based",0,0,0
151,Category 3,Ramen and Asian broth-based soups,0,0,0
152,Category 3,Rice,0,0,0
153,Category 3,"Pasta, noodles, cooked grains",0,0,1
154,Category 3,Yeast breads,0,0,1
155,Category 3,Rolls and buns,0,0,0
156,Category 3,Bagels and English muffins,0,0,0
157,Category 3,Tortillas,0,0,1
158,Category 3,"Biscuits, muffins, quick breads",0,0,0
159,Category 3,"Pancakes, waffles, French toast",0,0,0
160,Category 3,"Ready-to-eat cereal, higher sugar (>21.2g/100g)",0,1,0
161,Category 3,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",0,1,0
162,Category 3,Oatmeal,0,1,0
163,Category 3,Grits and other cooked cereals,0,1,0
164,Category 3,Potato chips,0,0,0
165,Category 3,"Tortilla, corn, other chips",0,0,0
166,Category 3,Popcorn,0,0,0
167,Category 3,Pretzels/snack mix,0,0,0
168,Category 3,"Crackers, excludes saltines",0,0,0
169,Category 3,Saltine crackers,0,0,0
170,Category 3,Cereal bars,0,0,1
171,Category 3,Nutrition bars,0,0,1
172,Category 3,Cakes and pies,0,0,0
173,Category 3,Cookies and brownies,0,0,0
174,Category 3,"Doughnuts, sweet rolls, pastries",0,0,0
175,Category 3,Candy containing chocolate,0,0,0
176,Category 3,Candy not containing chocolate,0,0,0
177,Category 3,Ice cream and frozen dairy desserts,0,0,0
178,Category 3,Pudding,0,0,0
179,Category 3,"Gelatins, ices, sorbets",0,0,0
180,Category 3,Tomatoes,0,0,0
181,Category 3,Carrots,0,0,0
182,Category 3,Other red and orange vegetables,0,0,0
183,Category 3,Broccoli,0,0,0
184,Category 3,Spinach,0,0,0
185,Category 3,Lettuce and lettuce salads,0,0,0
186,Category 3,Other dark green vegetables,0,0,0
187,Category 3,String beans,0,0,0
188,Category 3,Cabbage,0,0,0
189,Category 3,Onions,0,0,0
190,Category 3,Corn,0,0,0
191,Category 3,Other starchy vegetables,0,0,0
192,Category 3,Other vegetables and combinations,0,0,0
193,Category 3,Fried vegetables,0,0,0
194,Category 3,"Coleslaw, non-lettuce salads",0,0,0
195,Category 3,Vegetables on a sandwich,0,0,0
196,Category 3,"White potatoes, baked or boiled",0,0,0
197,Category 3,French fries and other fried white potatoes,0,0,0
198,Category 3,Mashed potatoes and white potato mixtures,0,0,0
199,Category 3,Citrus juice,0,0,0
200,Category 3,Apple juice,0,0,0
201,Category 3,Other fruit juice,0,0,0
202,Category 3,Vegetable juice,0,0,0
203,Category 3,Diet soft drinks,0,0,1
204,Category 3,Diet sport and energy drinks,0,0,1
205,Category 3,Other diet drinks,0,0,1
206,Category 3,Soft drinks,0,0,0
207,Category 3,Fruit drinks,0,0,0
208,Category 3,Sport and energy drinks,0,0,0
209,Category 3,Nutritional beverages,0,0,1
210,Category 3,Smoothies and grain drinks,0,0,0
211,Category 3,Coffee,0,0,0
212,Category 3,Tea,0,0,0
213,Category 3,Tap water,0,0,0
214,Category 3,Bottled water,0,0,0
215,Category 3,Flavored or carbonated water,0,0,0
216,Category 3,Enhanced water,0,0,0
217,Category 3,Baby food: cereals,0,0,0
218,Category 3,Baby food: fruit,0,0,0
219,Category 3,Baby food: vegetables,0,0,0
220,Category 3,Baby food: mixtures,0,0,0
221,Category 3,Baby food: meat and dinners,0,0,0
222,Category 3,Baby food: yogurt,0,0,0
223,Category 3,Baby food: snacks and sweets,0,0,0
224,Category 3,Baby juice,0,0,0
225,Category 3,Baby water,0,0,0
226,Category 3,"Formula, ready-to-feed",0,0,0
227,Category 3,"Formula, prepared from powder",0,0,0
